AREA_BRUTA,QUARTOS,FINALIDADE,FREGUESIA,REF,ESTADO,AREA_TERRENO,ESTACIONAMENTO,C_BANHO,CONCELHO,TIPO_DE_IMOVEL,PRECO_DE_ARRENDAMENTO,DISTRITO,ZONA,CERT_ENERG,PRECO_DE_VENDA
303,4,VENDA,NOGUEIRA,292180077,USADO,5980,-1,4,BRAGANCA,MORADIA,-1,BRAGANCA,-1,D,155000
104,3,VENDA,MOGADOURO_VALVERDE_VALE_DE_PORCO_E_VILAR_DE_REI,286180026,USADO,-1,1,1,MOGADOURO,APARTAMENTO,-1,BRAGANCA,-1,-1,56500
118,-1,VENDA,CACARELHOS_E_ANGUEIRA,286180025,ND,24700,-1,-1,VIMIOSO,QUINTINHA,-1,BRAGANCA,-1,-1,15000
260,-1,VENDA,VILA_CHA_DE_BRACIOSA,286180024,USADO,260,-1,-1,MIRANDA_DO_DOURO,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,42000
400,4,VENDA,SENDIM_E_ATENOR,286180023,USADO,3500,3,2,MIRANDA_DO_DOURO,MORADIA_ISOLADA,-1,BRAGANCA,-1,-1,250000
285,3,VENDA,MIRANDA_DO_DOURO,286180022,USADO,188,2,3,MIRANDA_DO_DOURO,MORADIA_GEMINADA,-1,BRAGANCA,-1,-1,160000
266,4,VENDA,MOGADOURO_VALVERDE_VALE_DE_PORCO_E_VILAR_DE_REI,286180021,USADO,400,2,2,MOGADOURO,MORADIA,-1,BRAGANCA,-1,D,133000
400,-1,VENDA,MOGADOURO_VALVERDE_VALE_DE_PORCO_E_VILAR_DE_REI,286180020,ND,300,-1,-1,MOGADOURO,TERRENO_PARA_CONSTRUCAO,-1,BRAGANCA,-1,-1,46500
242,-1,VENDA,SORTES,292180074,PLANTA,895,-1,-1,BRAGANCA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,30000
450,4,VENDA,MACEDO_DE_CAVALEIROS,286180019,USADO,424,6,3,MACEDO_DE_CAVALEIROS,MORADIA_GEMINADA,-1,BRAGANCA,-1,-1,220000
81,2,VENDA,MIRANDA_DO_DOURO,286180018,USADO,67,1,1,MIRANDA_DO_DOURO,APARTAMENTO,-1,BRAGANCA,-1,-1,85000
296,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180072,USADO,600,2,2,BRAGANCA,MORADIA_ISOLADA,-1,BRAGANCA,-1,-1,200000
162,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180071,USADO,371,-1,2,BRAGANCA,MORADIA_GEMINADA,-1,BRAGANCA,-1,-1,100000
160,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180070,USADO,-1,1,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,110000
374,4,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180069,NOVO,200,4,4,BRAGANCA,MORADIA_GEMINADA,-1,BRAGANCA,-1,-1,265000
1854,-1,VENDA,CASTELO_BRANCO,286180017,ND,22648,-1,-1,MOGADOURO,CASA_SENHORIAL,-1,BRAGANCA,-1,-1,485600
430,4,VENDA,ALFAIAO,292180068,USADO,5150,3,4,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,360000
